Dataset,step 2.1,step 2.2
HI,0.0740143,0.0920389
CO,0.697256,27.573467
GE,0.446794,0.680275
DB,1.10448,1.9911160000000000
DF,1.83697,3.30085
THS,5.81088,11.49484
AM,113.829,114.10165700000000
TAS,73.8684,27370.291700000000
AMZ,92.0739,151.38
SOA,515.146,515.403776
POW-S,97.152,210.615
POW-L,2789.7,6369.42
